12,2
90,36
19,45
96,13
76,5
34,0
21,46
58,30
77,1
32,40
73,45
25,0
38,44
21,32
68,39
84,47
36,16
59,36
10,13
41,4
25,41
97,43
87,20
23,48
21,14
87,19
44,30
17,11
23,41
36,45
21,20
66,5
42,48
70,4
70,31
9,6
22,32
69,46
60,49
16,5
53,5
77,0
2,35
50,6
32,26
67,26
14,4
26,2
74,27
17,30
83,45
20,47
78,33
35,8
50,26
85,43
14,42
46,11
19,10
60,3
60,45
45,0
46,27
5,34
4,14
44,9
36,17
78,5
1,9
35,40
6,38
26,26
59,35
38,27
22,31
0,27
72,28
24,40
7,15
10,37
45,17
60,7
95,40
44,6
16,10
37,21
8,35
75,40
81,11
60,19
33,15
96,36
22,19
54,31
12,28
81,32
29,4
33,9
7,36
8,13
66,35
68,1
60,45
49,12
79,11
56,2
79,8
70,7
5,22
15,14
64,12
50,25
47,26
43,35
23,11
80,39
71,24
65,13
62,25
95,28
78,45
88,19
43,33
65,36
10,45
8,36
80,41
17,1
43,25
97,28
13,34
7,22
64,39
59,45
58,4
61,31
61,33
54,9
82,32
49,13
96,37
1,24
85,26
39,20
73,30
0,22
39,4
69,12
73,28
92,2
71,2
59,43
64,28
59,11
37,27
78,41
60,25
86,21
81,49
90,44
27,16
52,32
62,33
67,40
52,27
45,40
79,5
49,32
8,43
94,3
18,23
81,42
53,36
22,0
81,30
16,20
98,1
84,10
30,33
3,1
40,32
53,40
52,6
19,3
0,9
0,29
66,49
40,11
67,34
14,28
21,7
72,12
32,16
37,33
31,8
79,37
26,38
2,3
88,1
46,24
