31,24
29,35
42,31
74,28
28,23
57,33
5,24
62,8
2,19
56,15
21,3
95,29
41,3
61,24
20,19
89,17
56,38
6,22
9,29
30,47
2,43
66,5
32,34
23,18
80,47
35,26
48,13
98,25
52,22
13,28
91,29
52,7
77,31
80,49
69,31
48,35
28,33
33,42
89,41
26,46
76,27
42,38
82,3
28,18
86,42
48,5
18,38
84,24
45,40
24,0
17,23
92,23
23,2
71,46
19,2
75,16
82,43
67,37
93,32
14,26
79,9
44,6
32,2
0,29
6,3
28,8
38,31
57,5
79,10
98,20
18,44
3,31
1,20
19,7
59,27
43,14
15,25
80,42
9,16
41,38
94,8
73,22
71,30
79,38
47,40
31,30
18,4
94,11
31,3
7,21
20,45
44,14
73,1
76,2
54,27
83,13
9,19
24,43
56,6
19,37
29,24
75,39
76,26
59,30
74,32
1,49
78,24
81,12
38,11
88,9
37,8
4,42
37,37
39,32
49,37
1,6
43,4
76,31
99,3
87,39
27,11
27,8
59,4
93,18
54,13
96,19
93,15
7,37
40,48
96,45
95,46
24,49
2,30
55,8
87,10
93,12
2,24
3,43
27,10
24,42
65,0
11,17
19,27
82,31
19,4
21,41
12,30
65,43
25,8
45,21
45,43
22,46
90,41
27,2
92,46
19,37
15,22
67,40
53,11
57,4
70,32
20,47
19,15
67,13
94,33
84,20
80,47
21,35
12,43
57,42
36,48
50,15
55,49
71,15
46,41
61,16
69,36
32,28
77,24
11,39
7,0
90,38
44,47
79,36
20,4
95,9
30,12
0,40
14,1
51,5
42,42
78,23
11,24
76,41
12,46
80,8
69,33
85,19
81,21
87,12
