3,42
63,41
25,36
31,36
52,45
33,46
39,8
63,13
99,5
81,44
47,10
93,21
56,10
21,33
37,22
9,26
69,24
38,18
42,34
11,7
0,0
38,25
28,25
19,31
50,20
62,19
36,42
42,37
85,15
59,13
24,16
40,23
95,41
18,35
99,22
91,42
83,43
50,44
73,16
88,38
9,49
22,32
42,20
98,20
46,4
6,49
2,38
51,1
55,31
92,33
47,5
22,41
96,36
60,22
48,44
6,12
87,34
94,48
1,9
55,39
24,34
56,47
6,42
81,9
67,34
59,26
15,46
82,13
55,20
41,4
15,28
0,28
79,30
61,3
31,32
18,4
61,15
36,20
85,1
58,14
49,32
4,40
39,23
29,33
17,27
4,8
27,23
16,20
31,23
68,29
66,41
47,24
71,48
83,13
34,29
85,19
32,37
17,5
42,18
89,43
44,48
93,13
83,44
69,16
2,48
74,49
30,36
30,13
57,31
75,18
95,25
4,44
48,4
33,34
85,16
40,17
73,31
37,9
96,16
22,15
33,3
60,22
20,38
7,15
83,9
24,17
85,48
69,33
70,46
5,12
48,19
44,17
77,39
43,4
82,31
8,36
58,22
49,48
60,22
93,47
14,40
81,43
15,1
78,28
16,33
47,18
42,36
19,4
7,40
71,22
48,49
0,5
91,0
1,0
10,43
78,41
16,22
86,43
43,24
21,3
48,30
15,8
20,41
10,47
15,8
66,9
55,2
72,22
78,9
29,34
69,40
57,8
51,19
20,17
2,42
3,27
37,17
72,38
73,31
53,30
41,5
84,1
82,38
89,6
5,26
60,0
70,23
41,19
50,7
90,30
63,38
8,48
38,24
10,27
19,24
80,11
58,21
48,33
3,34
15,24
